Rank,Movie Title,Worldwide Gross,Domestic Gross
1,Ne Zha 2,"$1,902,323,300","$23,308,176"
2,Lilo & Stitch,"$1,037,971,167","$423,778,855"
3,A Minecraft Movie,"$957,949,195","$423,949,195"
4,Jurassic World: Rebirth,"$868,901,354","$339,640,400"
5,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,"$662,207,840","$134,271,098"
6,How to Train Your Dragon,"$636,244,418","$262,958,100"
7,F1: The Movie,"$631,427,111","$189,527,111"
8,Superman,"$616,684,465","$354,184,465"
9,Mission: Impossible - The Final Reckoning,"$598,767,057","$197,413,515"
10,Zootopia 2,"$560,333,554","$158,804,061"
11,The Fantastic Four: First Steps,"$521,858,728","$274,286,610"
12,The Conjuring: Last Rites,"$494,053,512","$177,753,512"
13,Captain America: Brave New World,"$415,101,577","$200,500,001"
14,Wicked: For Good,"$391,038,035","$269,201,035"
15,Thunderbolts*,"$382,436,917","$190,274,328"
16,Sinners,"$367,853,537","$279,653,537"
17,Final Destination: Bloodlines,"$315,830,814","$138,130,814"
18,Weapons,"$268,250,044","$151,550,044"
19,The Bad Guys 2,"$239,081,933","$82,593,605"
20,Snow White,"$205,679,463","$87,203,963"
21,One Battle After Another,"$202,214,205","$70,614,205"
22,Now You See Me: Now You Don't,"$186,900,154","$49,600,154"
23,Chainsaw Man - The Movie: Reze Arc,"$177,285,191","$43,149,423"
24,Predator: Badlands,"$174,432,424","$85,093,044"
25,Elio,"$154,291,182","$72,987,454"
26,Freakier Friday,"$153,176,952","$94,186,236"
27,28 Years Later,"$151,308,832","$70,446,897"
28,Dog Man,"$145,603,415","$97,970,355"
29,Tron: Ares,"$142,217,668","$73,151,011"
30,Bridget Jones: Mad About the Boy,"$140,431,671",-
31,Ballerina,"$137,216,585","$58,051,327"
32,Mickey 17,"$133,347,147","$46,047,147"
33,Black Phone 2,"$131,605,789","$77,202,840"
34,Smurfs,"$124,157,356","$31,075,170"
35,Karate Kid: Legends,"$117,103,590","$52,547,391"
36,Kokuho,"$111,670,094",-
37,Detective Conan: One-Eyed Flashback,"$109,307,386",-
38,Materialists,"$105,541,289","$36,521,973"
39,The Accountant 2,"$103,223,366","$65,523,366"
40,Downton Abbey: The Grand Finale,"$102,578,074","$44,996,590"
41,The Naked Gun,"$102,147,396","$52,647,396"
42,The Amateur,"$96,000,836","$40,759,635"
43,Regretting You,"$89,130,864","$48,530,864"
44,A Working Man,"$88,200,711","$37,000,711"
45,Gabby's Dollhouse: The Movie,"$79,847,422","$32,011,820"
46,The King of Kings,"$77,466,555","$60,270,106"
47,The Monkey,"$68,871,071","$39,724,909"
48,I Know What You Did Last Summer,"$64,808,120","$32,165,634"
49,The Long Walk,"$63,117,958","$35,163,573"
